City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Ailigandi,PA,9.2333,-78.0167,79.27,83,36,14.05,light rain
326,Simoes,BR,-7.5989,-40.8178,73.33,70,100,7.31,overcast clouds
327,Vostok,RU,46.4856,135.8833,10.67,91,100,8.55,overcast clouds
328,Kamaishi,JP,39.2667,141.8833,32.0,80,75,5.75,broken clouds
329,Bahia Blanca,AR,-38.7196,-62.2724,85.93,21,0,14.25,clear sky
330,Ixtapa,MX,20.7,-105.2,71.01,88,90,2.3,overcast clouds
331,Gubkinskiy,RU,64.434,76.5026,-25.76,85,97,11.1,overcast clouds
332,Orikum,AL,40.3253,19.4714,52.45,78,99,17.67,light rain
333,Bambous Virieux,MU,-20.3428,57.7575,82.0,83,75,6.91,broken clouds
334,Dawlatabad,AF,36.4141,64.9053,49.01,44,100,3.0,overcast clouds
335,Victoria,HK,22.2855,114.1577,72.0,69,67,1.01,broken clouds
336,Kruisfontein,ZA,-34.0033,24.7314,57.99,93,0,1.01,clear sky
337,Aksarka,RU,66.5606,67.7975,-22.31,86,100,15.14,overcast clouds
338,Lavrentiya,RU,65.5833,-171.0,-7.1,84,100,19.06,overcast clouds
339,Meulaboh,ID,4.1363,96.1285,83.55,71,84,0.58,broken clouds
340,Margate,GB,51.3813,1.3862,41.0,72,84,5.01,broken clouds
341,Castelnau-Le-Lez,FR,43.6333,3.9,51.8,93,90,12.66,overcast clouds
342,Severodvinsk,RU,64.5635,39.8302,-2.2,84,40,4.47,scattered clouds
343,Canavieiras,BR,-15.675,-38.9472,72.57,83,21,2.42,few clouds
344,Trabzon,TR,40.9167,39.8333,41.0,45,40,12.66,scattered clouds
345,Levski,BG,43.3667,25.1333,30.2,100,1,1.7,clear sky
